Team_id,Team,Conference
572,Rhode Island ,Atlantic 10
627,San Diego ,WCC
647,South Carolina St. ,MEAC
368,UMass Lowell ,America East
718,Tulane ,AAC
198,ETSU ,SoCon
231,FIU ,C-USA
392,Maryland ,Big Ten
400,Massachusetts ,Atlantic 10
10411,USC Upstate ,Big South
184,Detroit Mercy ,Horizon
248,George Mason ,Atlantic 10
369,Loyola Maryland ,Patriot
386,Marist ,MAAC
450,Mount St. Mary's ,NEC
482,Niagara ,MAAC
302,UIC ,Horizon
446,Morgan St. ,MEAC
220,Fairfield ,MAAC
28,Arizona St. ,Pac-12
47,Ball St. ,MAC
327,Kansas St. ,Big 12
539,Penn St. ,Big Ten
550,Portland St. ,Big Sky
562,Quinnipiac ,MAAC
80,Brown ,Ivy League
253,Ga. Southern ,Sun Belt
19651,High Point ,Big South
414,Miami (OH) ,MAC
654,Southeast Mo. St. ,OVC
691,Tennessee St. ,OVC
735,Valparaiso ,MVC
228,Florida A&M ,SWAC
428,Minnesota ,Big Ten
540,Penn ,Ivy League
87,Butler ,Big East
28600,Lipscomb ,ASUN
576,Rider ,MAAC
71,Bowling Green ,MAC
202,Eastern Ky. ,ASUN
1157,Kennesaw St. ,ASUN
466,Nevada ,Mountain West
141,The Citadel ,SoCon
14,UAlbany ,America East
498,ULM ,Sun Belt
43,Austin Peay ,OVC
62,Binghamton ,America East
393,UMES ,MEAC
352,Lehigh ,Patriot
367,Louisville ,ACC
473,New Mexico ,Mountain West
523,Old Dominion ,C-USA
433,Ole Miss ,SEC
6,Alabama A&M ,SWAC
249,George Washington ,Atlantic 10
67,Boston College ,ACC
299,Illinois St. ,MVC
721,Air Force ,Mountain West
287,Houston Baptist ,Southland
370,LMU (CA) ,WCC
471,NJIT ,America East
563,Radford ,Big South
102,Sacramento St. ,Big Sky
702,UT Arlington ,Sun Belt
107,California ,Pac-12
255,Georgia Tech ,ACC
261,Grambling ,SWAC
272,Hartford ,America East
488,N.C. A&T ,Big South
1320,Presbyterian ,Big South
314,Jackson St. ,SWAC
340,La Salle ,Atlantic 10
606,Saint Joseph's ,Atlantic 10
678,Stetson ,ASUN
388,Marshall ,C-USA
434,Missouri ,SEC
172,Dartmouth ,Ivy League
1004,Central Ark. ,ASUN
305,Indiana St. ,MVC
2711,North Florida ,ASUN
719,Tulsa ,AAC
732,Utah ,Pac-12
116,Canisius ,MAAC
183,Denver ,Summit League
490,NC State ,ACC
545,Pittsburgh ,ACC
660,SIUE ,OVC
692,Tennessee Tech ,OVC
769,Western Caro. ,SoCon
402,McNeese ,Southland
342,Lafayette ,Patriot
590,Sacred Heart ,NEC
599,St. Francis Brooklyn ,NEC
7,Alabama St. ,SWAC
204,Eastern Mich. ,MAC
270,Hampton ,Big South
32,Little Rock ,Sun Belt
23,American ,Patriot
1068,Elon ,CAA
797,Milwaukee ,Horizon
463,Nebraska ,Big Ten
706,UTSA ,C-USA
61,Bethune-Cookman ,SWAC
503,NIU ,MAC
600,Saint Francis (PA) ,NEC
94,CSU Bakersfield ,Big West
553,Prairie View ,SWAC
285,Holy Cross ,Patriot
295,Idaho ,Big Sky
500,Northeastern ,CAA
83,Bucknell ,Patriot
165,Coppin St. ,MEAC
501,Northern Ariz. ,Big Sky
508,Northwestern St. ,Southland
534,Pacific ,WCC
695,UT Martin ,OVC
630,San Jose St. ,Mountain West
651,South Fla. ,AAC
536,UTRGV ,WAC
774,Western Mich. ,MAC
127,Central Conn. St. ,NEC
579,Robert Morris ,Horizon
90,Cal Poly ,Big West
101,CSUN ,Big West
129,Central Mich. ,MAC
294,Idaho St. ,Big Sky
2678,Ark.-Pine Bluff ,SWAC
136,Chicago St. ,WAC
541,Pepperdine ,WCC
2743,UIW ,Southland
664,Southern Miss. ,C-USA
380,Maine ,America East
194,Duquesne ,Atlantic 10
219,Evansville ,MVC
48,Charleston So. ,Big South
251,Georgetown ,Big East
494,North Dakota ,Summit League
257,Georgia ,SEC
794,Green Bay ,Horizon
464,Omaha ,Summit League
201,Eastern Ill. ,OVC
786,William & Mary ,CAA
158,Columbia ,Ivy League
222,Fairleigh Dickinson ,NEC
2699,IUPUI ,Horizon
528,Oregon St. ,Pac-12
178,Delaware St. ,MEAC
432,Mississippi Val. ,SWAC
346,Lamar University ,WAC
